indicator,type,first_seen,last_seen,comment
175.24.75.121,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
198.13.59.133,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
220.76.132.161,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
3.6.253.10,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
39.104.97.83,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
47.104.5.239,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
51.83.78.50,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
78.217.153.69,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
89.208.221.33,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
101.132.159.200,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
114.35.82.249,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
121.37.170.40,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
121.41.63.23,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
122.51.229.248,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
164.163.143.215,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
194.132.68.191,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
213.240.109.244,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
3.234.72.216,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
49.235.133.129,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
58.251.30.107,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
83.204.34.5,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
92.58.35.92,ipv4,3/6/2020,3/24/2020,"H2Miner,compromised host"
114.55.255.79,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
117.121.212.227,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
121.129.105.85,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
123.206.104.110,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
167.71.118.129,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
180.167.113.60,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
193.33.133.226,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
203.234.105.245,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
207.148.25.152,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
210.113.224.201,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
35.164.172.206,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
47.100.66.218,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
47.94.195.163,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
64.228.195.123,ipv4,3/5/2020,3/24/2020,"H2Miner,compromised host"
139.129.55.191,ipv4,3/4/2020,3/24/2020,"H2Miner,compromised host"
47.102.201.42,ipv4,3/4/2020,3/24/2020,"H2Miner,compromised host"
47.107.169.180,ipv4,3/4/2020,3/24/2020,"H2Miner,compromised host"
66.211.25.75,ipv4,3/4/2020,3/24/2020,"H2Miner,compromised host"
109.211.111.130,ipv4,3/2/2020,3/24/2020,"H2Miner,compromised host"
139.155.44.138,ipv4,3/2/2020,3/24/2020,"H2Miner,compromised host"
219.85.54.68,ipv4,3/2/2020,3/24/2020,"H2Miner,compromised host"
220.76.132.199,ipv4,3/2/2020,3/24/2020,"H2Miner,compromised host"
111.229.19.254,ipv4,3/1/2020,3/24/2020,"H2Miner,compromised host"
124.244.54.68,ipv4,3/1/2020,3/24/2020,"H2Miner,compromised host"
128.134.65.29,ipv4,3/1/2020,3/24/2020,"H2Miner,compromised host"
139.224.19.188,ipv4,3/1/2020,3/24/2020,"H2Miner,compromised host"
176.230.49.153,ipv4,3/1/2020,3/24/2020,"H2Miner,compromised host"
182.61.23.143,ipv4,3/1/2020,3/24/2020,"H2Miner,compromised host"
39.98.109.53,ipv4,3/1/2020,3/24/2020,"H2Miner,compromised host"
89.160.179.152,ipv4,3/1/2020,3/24/2020,"H2Miner,compromised host"
90.100.57.52,ipv4,3/1/2020,3/24/2020,"H2Miner,compromised host"
91.171.21.169,ipv4,3/1/2020,3/24/2020,"H2Miner,compromised host"
91.211.106.125,ipv4,3/1/2020,3/24/2020,"H2Miner,compromised host"
111.229.46.235,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
111.231.7.119,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
111.241.145.229,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
117.51.149.68,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
118.223.231.181,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
148.70.31.101,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
165.227.30.1,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
176.63.125.190,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
178.254.243.244,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
185.164.235.111,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
189.19.254.203,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
195.132.53.148,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
202.123.28.183,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
219.73.100.220,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
45.77.135.9,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
47.100.179.57,ipv4,2/29/2020,3/24/2020,"H2Miner,compromised host"
88.86.242.147,ipv4,2/28/2020,3/24/2020,"H2Miner,compromised host"
90.100.59.14,ipv4,2/28/2020,3/24/2020,"H2Miner,compromised host"
129.241.154.27,ipv4,2/27/2020,3/24/2020,"H2Miner,compromised host"
39.98.238.116,ipv4,2/27/2020,3/24/2020,"H2Miner,compromised host"
47.116.19.240,ipv4,2/27/2020,3/24/2020,"H2Miner,compromised host"
47.92.171.216,ipv4,2/27/2020,3/24/2020,"H2Miner,compromised host"
52.177.0.79,ipv4,2/27/2020,3/24/2020,"H2Miner,compromised host"
88.119.42.186,ipv4,2/27/2020,3/24/2020,"H2Miner,compromised host"
101.132.43.140,ipv4,2/26/2020,3/24/2020,"H2Miner,compromised host"
117.121.212.225,ipv4,2/26/2020,3/24/2020,"H2Miner,compromised host"
120.79.87.61,ipv4,2/26/2020,3/24/2020,"H2Miner,compromised host"
122.116.33.102,ipv4,2/26/2020,3/24/2020,"H2Miner,compromised host"
123.56.232.23,ipv4,2/26/2020,3/24/2020,"H2Miner,compromised host"
139.217.227.29,ipv4,2/26/2020,3/24/2020,"H2Miner,compromised host"
139.217.234.92,ipv4,2/26/2020,3/24/2020,"H2Miner,compromised host"
167.172.150.194,ipv4,2/26/2020,3/24/2020,"H2Miner,compromised host"
69.167.23.13,ipv4,2/26/2020,3/24/2020,"H2Miner,compromised host"
69.36.193.42,ipv4,2/26/2020,3/24/2020,"H2Miner,compromised host"
90.113.67.169,ipv4,2/26/2020,3/24/2020,"H2Miner,compromised host"
92.167.218.95,ipv4,2/26/2020,3/24/2020,"H2Miner,compromised host"
111.229.172.187,ipv4,2/25/2020,3/24/2020,"H2Miner,compromised host"
