indicator,Type,first_seen,last_seen,comment
fc6272b9842cc5ddced74feaa49732d99953020df9442b0934d64367dc592477,sha256,5/21/2021,5/21/2021,Keksec - Simps
2c55ba1f5744aa0c19641381b0aefacf8b5c677b899397d0c8e9e4a0de233106,sha256,5/21/2021,5/21/2021,Keksec - Simps
da2913e50c6531ea3d87f1879935d15e2a395e5e22c95e7e42cf19f6eb690e39,sha256,5/20/2021,5/20/2021,Keksec - Simps
bd16ee8525c02493e78f21f187db0951299d8b6012d67e3ed7353b3847109fc6,sha256,5/20/2021,5/20/2021,Keksec - Simps
5026738364c27b6b8bcb16075efee6e4cb13555ae1b46cf1efa0e688b5f23cfb,sha256,5/20/2021,5/20/2021,Keksec - Simps
c2d5e54544742b7a1b04cf45047859a10bb90c6945d340120872f575aa866e6d,sha256,5/5/2021,5/21/2021,Keksec - Simps
a9d169a617fad975557ace45ab1198144ea3787baacd795c0e5938b96e9b2b05,sha256,5/21/2021,5/21/2021,Keksec - Simps
432ef9dcdfbae12fd0c4dbd35fc92c6649b12276e6d449c1dbe7d103096c232d,sha256,5/21/2021,5/21/2021,Keksec - Simps
9b8d3183fbd4e6882f778248f99bc9bf3efa21fa617a4fde6df8afd2c1f74d59,sha256,4/9/2021,4/9/2021,Keksec - Simps
7fe1066205f9af68f064c1911b80671dbe57c9783a4f1e4f29ea48a422198443,sha256,5/19/2021,5/19/2021,Keksec - Simps
6bb81196b4bcb7cd27e6d0b91cb189387dbd8f676a8345870aea6d43922c6874,sha256,5/19/2021,5/19/2021,Keksec - Simps
cb87db00887200950536b4ae49ce4b9b77ae60e9883abbb711b652d0175ac764,sha256,4/27/2021,4/27/2021,Keksec - Simps
41c19a9c19394270e0c1318030502545aca94bfe25066739a7c86d0ef25fe491,sha256,4/18/2021,4/18/2021,Keksec - Simps
13ad4a2feb0549470c73a4bad68b6f53fa3e5bcf3449bb7f28b312f515b82303,sha256,4/18/2021,4/18/2021,Keksec - Simps
b1899edc480f47c6b7912337479a3ecded5747de6e4cb46a3c741d109ecfb862,sha256,4/17/2021,4/17/2021,Keksec - Simps
1c4dd823ba136fc4c44901f35a6aa5fbaad9c5f9f7baba705e28a1aeeac374b1,sha256,5/19/2021,5/19/2021,Keksec - Simps
b53ed3fa2687353db1c17c4ae239148b9bef29482d8ce2251e8eaab9ce4facb0,sha256,4/13/2021,4/13/2021,Keksec - Simps
e42bd7c1fb9ad554ce59d19e2c7115933e2e37b2a7b05b7e094d1e3c02c2b69d,sha256,4/24/2021,5/2/2021,Keksec - SimpsX
e10575934107fccfbf05759c86d8aa69376311b520c3d1199e18b782cd4cae0d,sha256,4/25/2021,4/25/2021,Keksec - SimpsX
5880cc2b1122c1b2e4f5c91af400ca22d0643e99335748737fe485a8c18495ae,sha256,4/24/2021,4/24/2021,Keksec - SimpsX
a86f6abca371640e995dcdb2dfca966217c6d8c984f7a6e0eb3eabeacd6d1189,sha256,4/24/2021,5/4/2021,Keksec - SimpsX
6c6928f50eefb99e23574886d3b957ec951ada5970824805bfaf94513fb1ea4c,sha256,4/24/2021,4/30/2021,Keksec - SimpsX
