host,type,connected_redis_instances,firstseen,lastseen,ports,commands
135.237.120.202,redis_scanner,1,2020-09-07 00:00:00,2020-09-07 00:00:00,(high ports),[u'client']
135.235.7.255,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
135.226.95.248,redis_scanner,1,2020-08-25 00:00:00,2020-08-25 00:00:00,(high ports),[u'client']
135.218.68.178,redis_scanner,1,2020-09-15 00:00:00,2020-09-15 00:00:00,(high ports),[u'client']
135.210.195.103,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
135.208.229.179,redis_scanner,1,2020-09-23 00:00:00,2020-09-23 00:00:00,(high ports),[u'client']
135.204.186.115,redis_scanner,1,2020-09-30 00:00:00,2020-09-30 00:00:00,(high ports),[u'client']
135.2.228.224,redis_scanner,1,2020-09-30 00:00:00,2020-09-30 00:00:00,(high ports),[u'client']
135.178.88.203,redis_scanner,1,2020-09-01 00:00:00,2020-09-01 00:00:00,(high ports),[u'client']
135.177.157.162,redis_scanner,1,2020-08-22 00:00:00,2020-08-22 00:00:00,(high ports),[u'client']
135.173.115.115,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
135.168.75.130,redis_scanner,1,2020-09-04 00:00:00,2020-09-04 00:00:00,(high ports),[u'client']
135.168.49.190,redis_scanner,1,2020-09-02 00:00:00,2020-09-02 00:00:00,(high ports),[u'client']
135.164.68.225,redis_scanner,1,2020-09-19 00:00:00,2020-09-19 00:00:00,(high ports),[u'client']
135.164.118.216,redis_scanner,1,2020-08-23 00:00:00,2020-08-23 00:00:00,(high ports),[u'client']
135.162.4.95,redis_scanner,1,2020-09-15 00:00:00,2020-09-15 00:00:00,(high ports),[u'client']
135.161.201.35,redis_scanner,1,2020-09-14 00:00:00,2020-09-14 00:00:00,(high ports),[u'client']
135.161.173.251,redis_scanner,1,2020-09-23 00:00:00,2020-09-23 00:00:00,(high ports),[u'client']
135.161.166.237,redis_scanner,1,2020-09-19 00:00:00,2020-09-19 00:00:00,(high ports),[u'client']
135.16.62.230,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
135.159.125.124,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
135.157.71.173,redis_scanner,1,2020-09-10 00:00:00,2020-09-10 00:00:00,(high ports),[u'client']
135.155.117.79,redis_scanner,1,2020-08-23 00:00:00,2020-08-23 00:00:00,(high ports),[u'client']
135.153.193.116,redis_scanner,1,2020-09-19 00:00:00,2020-09-19 00:00:00,(high ports),[u'client']
135.150.70.222,redis_scanner,1,2020-09-20 00:00:00,2020-09-20 00:00:00,(high ports),[u'client']
135.15.255.163,redis_scanner,1,2020-09-14 00:00:00,2020-09-14 00:00:00,(high ports),[u'client']
135.148.70.204,redis_scanner,1,2020-08-31 00:00:00,2020-08-31 00:00:00,(high ports),[u'client']
135.148.176.127,redis_scanner,1,2020-09-05 00:00:00,2020-09-05 00:00:00,(high ports),[u'client']
135.146.32.46,redis_scanner,1,2020-09-26 00:00:00,2020-09-26 00:00:00,(high ports),[u'client']
135.145.201.30,redis_scanner,1,2020-09-21 00:00:00,2020-09-21 00:00:00,(high ports),[u'client']
135.136.53.45,redis_scanner,1,2020-09-28 00:00:00,2020-09-28 00:00:00,(high ports),[u'client']
135.136.101.0,redis_scanner,1,2020-09-05 00:00:00,2020-09-05 00:00:00,(high ports),[u'client']
135.134.119.218,redis_scanner,1,2020-09-28 00:00:00,2020-09-28 00:00:00,(high ports),[u'client']
135.128.223.7,redis_scanner,1,2020-09-28 00:00:00,2020-09-28 00:00:00,(high ports),[u'client']
135.127.101.139,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
135.124.255.51,redis_scanner,1,2020-09-04 00:00:00,2020-09-04 00:00:00,(high ports),[u'client']
135.112.14.245,redis_scanner,1,2020-09-04 00:00:00,2020-09-04 00:00:00,(high ports),[u'client']
135.109.65.46,redis_scanner,1,2020-08-31 00:00:00,2020-08-31 00:00:00,(high ports),[u'client']
135.101.157.77,redis_scanner,1,2020-09-13 00:00:00,2020-09-13 00:00:00,(high ports),[u'client']
134.98.246.224,redis_scanner,1,2020-09-15 00:00:00,2020-09-15 00:00:00,(high ports),[u'client']
134.98.205.117,redis_scanner,1,2020-09-26 00:00:00,2020-09-26 00:00:00,(high ports),[u'client']
134.94.202.140,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
134.93.193.75,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
134.92.119.41,redis_scanner,1,2020-09-12 00:00:00,2020-09-12 00:00:00,(high ports),[u'client']
134.91.39.204,redis_scanner,1,2020-09-02 00:00:00,2020-09-02 00:00:00,(high ports),[u'client']
134.77.44.215,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
134.75.25.222,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
134.74.216.27,redis_scanner,1,2020-09-26 00:00:00,2020-09-26 00:00:00,(high ports),[u'client']
134.72.234.125,redis_scanner,1,2020-09-16 00:00:00,2020-09-16 00:00:00,(high ports),[u'client']
134.7.63.3,redis_scanner,1,2020-09-06 00:00:00,2020-09-06 00:00:00,(high ports),[u'client']
134.68.152.184,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
134.67.158.180,redis_scanner,1,2020-09-26 00:00:00,2020-09-26 00:00:00,(high ports),[u'client']
134.66.240.191,redis_scanner,1,2020-09-28 00:00:00,2020-09-28 00:00:00,(high ports),[u'client']
134.59.61.16,redis_scanner,1,2020-09-18 00:00:00,2020-09-18 00:00:00,(high ports),[u'client']
134.57.7.225,redis_scanner,1,2020-09-21 00:00:00,2020-09-21 00:00:00,(high ports),[u'client']
134.57.251.33,redis_scanner,1,2020-09-22 00:00:00,2020-09-22 00:00:00,(high ports),[u'client']
134.56.94.213,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
134.56.12.70,redis_scanner,1,2020-09-18 00:00:00,2020-09-18 00:00:00,(high ports),[u'client']
134.46.37.50,redis_scanner,1,2020-09-13 00:00:00,2020-09-13 00:00:00,(high ports),[u'client']
134.4.44.218,redis_scanner,1,2020-09-28 00:00:00,2020-09-28 00:00:00,(high ports),[u'client']
134.39.173.109,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
134.39.10.211,redis_scanner,1,2020-09-16 00:00:00,2020-09-16 00:00:00,(high ports),[u'client']
134.35.223.238,redis_scanner,1,2020-09-15 00:00:00,2020-09-15 00:00:00,(high ports),[u'NULL']
134.35.200.243,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'save']
134.35.147.70,redis_scanner,1,2020-09-15 00:00:00,2020-09-15 00:00:00,(high ports),[u'NULL']
134.35.144.158,redis_scanner,1,2020-09-15 00:00:00,2020-09-15 00:00:00,(high ports),[u'NULL']
134.255.182.19,redis_scanner,1,2020-09-22 00:00:00,2020-09-22 00:00:00,(high ports),[u'client']
134.250.154.99,redis_scanner,1,2020-09-16 00:00:00,2020-09-16 00:00:00,(high ports),[u'client']
134.249.173.173,redis_scanner,1,2020-09-15 00:00:00,2020-09-15 00:00:00,(high ports),[u'client']
134.247.35.24,redis_scanner,1,2020-09-16 00:00:00,2020-09-16 00:00:00,(high ports),[u'client']
134.243.81.59,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
134.243.101.126,redis_scanner,1,2020-09-15 00:00:00,2020-09-15 00:00:00,(high ports),[u'client']
134.242.131.98,redis_scanner,1,2020-09-23 00:00:00,2020-09-23 00:00:00,(high ports),[u'client']
134.239.228.215,redis_scanner,1,2020-08-23 00:00:00,2020-08-23 00:00:00,(high ports),[u'client']
134.239.103.126,redis_scanner,1,2020-09-26 00:00:00,2020-09-26 00:00:00,(high ports),[u'client']
134.238.37.238,redis_scanner,1,2020-09-18 00:00:00,2020-09-18 00:00:00,(high ports),[u'client']
134.238.144.254,redis_scanner,1,2020-09-25 00:00:00,2020-09-25 00:00:00,(high ports),[u'client']
134.233.113.232,redis_scanner,1,2020-09-30 00:00:00,2020-09-30 00:00:00,(high ports),[u'client']
134.224.137.19,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
134.220.159.227,redis_scanner,1,2020-09-02 00:00:00,2020-09-02 00:00:00,(high ports),[u'client']
